G.Id,Grievance Description,Department,Line Department,Service Name,Grievance Name,Grievance SubCategory1,Grievance SubCategory2,Service Type,District,Taluk,GP/Village/Hobli,Created Date,Status,Days Left Before Escalation,Days Pending Beyond Deadline,Officer Role,Pending with / Closed By,Grievance Source,Unnamed: 19,Google Drive Link
241890,"CITIZEN SAYS THAT NO STREET LIGHT FACILITY IN HIS LOCALITY FROM PAST 6 YEARS, BECAUSE OF NO STREET LIGHT CITIZEN ARE   UNABLE TO TRAVEL ON NIGHT TIME FACING MANY ACCIDENTS, AS PER CITIZEN REQUEST KINDLY DO NEEDFUL.",Urban Development Department,Directorate of Municipal Administration (DMA),"Electrical(TMC,TP)",Requirement for new street lights -141,,,Non Sakala,HASSAN,Arkalgud,,21/05/2025 09:34 AM,Closed by Officer,,,L2,Project Director-Hassan-Hassan,iPGRS-Call Center ,,https://drive.google.com/file/d/1xoY_amJwbHuDZ3vaODDVfJmz7v6ofqde/view?usp=sharing
241843,"The citizen claims that they have been dealing with a street dog problem for the past one month, which has prevented them from walking and caused other problems. The citizen also visited the department but received no appropriate response. Therefore, kindly take the required action and offer the remedy.
",Urban Development Department,Directorate of Municipal Administration (DMA),Animal Control(Corporations),Stray dog related complaints-559,,,Non Sakala,SHIVAMOGGA,Shivamogga,,20/05/2025 05:36 PM,Closed by Officer,,,L2,Veterinary Officer-Shivamogga-Shivamogga,iPGRS-Call Center ,,https://drive.google.com/file/d/1uQvqwDoLy_nQQImrxk_S2kJ-aqqxR774/view?usp=sharing
241723,"CITIZEN SAYS THAT IN THEIR LOCALITY DOWN TO SATYA NARAYANA HOSPITAL, RAGHAVENDRA NAGAR 13TH CROSS SINCE A WEEK FOUR STREET LIGHT ARE NOT WORKING AND HE REQUEST TO SOLVE THE ISSUE . PLEASE KINDLY TAKE ACTION.",Urban Development Department,Directorate of Municipal Administration (DMA),Electrical(Corporations),Street light not working-532,,,Non Sakala,MYSURU,Mysuru,,20/05/2025 01:50 PM,Resolved (Feedback Taken),,,LMF,Mysuru-EE (Elec)-Ward number- 1 to 65-Mysuru,iPGRS-Call Center ,,https://drive.google.com/file/d/11paVaPcOcjz9Xjkj_raSSSqzG1xruVi6/view?usp=sharing
241720,"The citizen reports that he has been dealing with road problems in his neighbourhood for the past three years.And he claims that because the road is not properly maintained, they are unable to walk on it. as per the citizen request kindly do the needful.",Urban Development Department,Directorate of Municipal Administration (DMA),"Road Maintainance(TMC,TP) ",Issues relaed to Footpath Encroachment-114,,,Non Sakala,BENGALURU RURAL,Dodda Ballapur,BASHETTIHALLI / Kasuvanahalli,20/05/2025 01:33 PM,InProcess,15.0,,L2,Project Director-Bengaluru Rural-Bengaluru Rural,iPGRS-Call Center ,,https://drive.google.com/file/d/1QRg6WgLAmYn5UWacAGuH5rcQyc9YzQxi/view?usp=sharing
241663,"The citizen reports that he has been dealing with drainage problems for the past three months. As a result, the citizen finds it difficult to walk on the road and has visited the Consed Department, but no proper resolution has been found. As a result, the citizen requests that the necessary actions be taken. ",Urban Development Department,Directorate of Municipal Administration (DMA),Providing Tap and Underground drainage Connection(Corporations),"Issues related to
tap and underground
drainage connection","De-silting of
 storm water drains-452",,Non Sakala,MYSURU,Mysuru,,20/05/2025 09:34 AM,Resolved (Feedback Taken),,,L3,Commissioner-Mysuru,iPGRS-Call Center ,,https://drive.google.com/file/d/1ajG6dSiOPq7P5g2ejbAi8v1LYXb9DyTC/view?usp=sharing
241451,CITIZEN SAYS THAT IN ABOVE MENTIONED ADDRESS DRAINAGE BLOCKED FROM PAST 3 MONTHS DUE TO THIS MOSQUITOES BREEDING AND WASTES IS NOT DISPOSING PROPERLY THEY COMPLAINED TO CONCERN DEPARTMENT BUT NO ANY RESPONSE PLEASE DO THE NEEDFUL ,Urban Development Department,Directorate of Municipal Administration (DMA),"Providing Tap and Underground drainage Connection(TMC,TP)",Issues related to Drainage Blockages ,,,Non Sakala,KOLAR,Bangarapet,,19/05/2025 11:06 AM,Resolved (Feedback Taken),,,LMF,Chief Officer -Bangarpet-Bangarpet,iPGRS-Call Center ,,https://drive.google.com/file/d/1txpgU8kFPX9qa5FjLR-O5F6I4i_hjzQ0/view?usp=sharing
241447,"CITIZEN SAYS THAT IN THEIR LOCALITY NEAR CHANDRASHEKARA SWAMIJI ASHRAMA, ANDRAHALLI SRI CHAKRA NAGAR ROAD HAS BEEN NOT MAINTAINED PROPERLY , ROAD FULL OF POTHOLES AND DUE TO RAIN IT HAS BEEN INCREASED AND HE REQUEST TO OFFICER TO TAKE ACTION TO FILL THE POTHOLES AS WELL AS CONSTRUCTION FOR NEW ROAD . PLEASE KINDLY DO NEEDFUL.",Urban Development Department,Bruhat Bangalore Mahanagara Palike(BBMP),Providing Roads-4,Facing issues pertaining to road connectivity-4,"Road available, however broken or not maintained properly-4",,Non Sakala,BENGALURU URBAN,Bengaluru South,Ward No. 40 (Dodda Bidarakallu),19/05/2025 10:32 AM,Closed by Officer,,,LMF,Assistant Executive Engineer-BBMP -40-Doddabidarakallu-Bengaluru Urban,iPGRS-Call Center ,,https://drive.google.com/file/d/1XvnHxrFH2-0aXQ3PFGt6Dv7BD5TY79x0/view?usp=sharing
241376,"The citizen reports that for the past six months, the drainage at the address mentioned above has been overflowing. There was no response when they complained to the concerned department. Please take the necessary action.",Urban Development Department,Directorate of Municipal Administration (DMA),Providing Tap and Underground drainage Connection(Corporations),Issues related to Drainage Blockages ,,,Non Sakala,DAVANGERE,Davanagere,,18/05/2025 11:27 AM,Resolved (Feedback Taken),,,L2,Deputy Commissioner Development -Davanagere-Davangere,iPGRS-Call Center ,,
241363,"The citizen claims that his local garbage collection vehicle has not arrived for the past week, and as a result, he is having problems. He has visited the relevant department, but they have not responded appropriately to his request.",Urban Development Department,Directorate of Municipal Administration (DMA),"Solid Waste (Garbage) Related(TMC,TP)",Garbage Vehicle not arrived-123,,,Non Sakala,KOLAR,Bangarapet,,18/05/2025 09:31 AM,Resolved (Feedback Taken),,,LMF,Chief Officer -Bangarpet-Bangarpet,iPGRS-Call Center ,,https://drive.google.com/file/d/1bO1U_he7BQ816JT4acjC3nO1_FiREihe/view?usp=sharing
241334,"According to a local resident, there has been a drainage blockage in their area for the last nine months. As a result, citizens are dealing with problems. Despite the citizen's visit to the relevant department, no appropriate response was received. Please address this issue as requested by the citizens.",Urban Development Department,Directorate of Municipal Administration (DMA),Providing Tap and Underground drainage Connection(CMC),Issues related to Drainage Blockages ,,,Non Sakala,CHITRADURGA,Chitradurga,,17/05/2025 05:52 PM,Resolved (Feedback Taken),,,L3,Deputy Commissioner-Chitradurga-Chitradurga,iPGRS-Call Center ,,https://drive.google.com/file/d/1i5KMcAOXzR7VrkWAqKjm1ZtxpdcV1b00/view?usp=sharing
